
  0% | 0/18 | ?it/s
T50/51, E216/250 => loss: 0.47: :  17% | 3/18 |  9.28it/s
T50/51, E216/250 => loss: 0.469: :  17% | 3/18 |  9.28it/s
T50/51, E216/250 => loss: 0.469: :  22% | 4/18 |  9.17it/s
T50/51, E216/250 => loss: 0.468: :  22% | 4/18 |  9.17it/s
T50/51, E216/250 => loss: 0.468: :  28% | 5/18 |  9.08it/s
T50/51, E216/250 => loss: 0.469: :  28% | 5/18 |  9.08it/s
T50/51, E216/250 => loss: 0.469: :  33% | 6/18 |  9.01it/s
T50/51, E216/250 => loss: 0.469: :  33% | 6/18 |  9.01it/s
T50/51, E216/250 => loss: 0.469: :  39% | 7/18 |  8.95it/s
T50/51, E216/250 => loss: 0.47: :  39% | 7/18 |  8.95it/s 
T50/51, E216/250 => loss: 0.47: :  44% | 8/18 |  8.92it/s
T50/51, E216/250 => loss: 0.47: :  44% | 8/18 |  8.92it/s
T50/51, E216/250 => loss: 0.47: :  50% | 9/18 |  8.89it/s
T50/51, E216/250 => loss: 0.469: :  50% | 9/18 |  8.89it/s
T50/51, E216/250 => loss: 0.469: :  56% | 10/18 |  8.87it/s
T50/51, E216/250 => loss: 0.47: :  56% | 10/18 |  8.87it/s 
T50/51, E216/250 => loss: 0.47: :  61% | 11/18 |  8.84it/s
T50/51, E216/250 => loss: 0.47: :  61% | 11/18 |  8.84it/s
T50/51, E216/250 => loss: 0.47: :  67% | 12/18 |  8.81it/s
T50/51, E216/250 => loss: 0.47: :  67% | 12/18 |  8.81it/s
T50/51, E216/250 => loss: 0.47: :  72% | 13/18 |  8.80it/s
T50/51, E216/250 => loss: 0.47: :  72% | 13/18 |  8.80it/s
T50/51, E216/250 => loss: 0.47: :  78% | 14/18 |  8.81it/s
T50/51, E216/250 => loss: 0.47: :  78% | 14/18 |  8.81it/s
T50/51, E216/250 => loss: 0.47: :  83% | 15/18 |  8.82it/s
T50/51, E216/250 => loss: 0.47: :  83% | 15/18 |  8.82it/s
T50/51, E216/250 => loss: 0.47: :  89% | 16/18 |  8.80it/s
T50/51, E216/250 => loss: 0.47: :  89% | 16/18 |  8.80it/s
T50/51, E216/250 => loss: 0.47: :  94% | 17/18 |  8.79it/s
T50/51, E216/250 => loss: 0.472: :  94% | 17/18 |  8.79it/s
T50/51, E216/250 => loss: 0.472: : 100% | 18/18 |  9.08it/s

  0% | 0/18 | ?it/s
T50/51, E217/250 => loss: 0.471: :   0% | 0/18 | ?it/s
T50/51, E217/250 => loss: 0.471: :   6% | 1/18 |  9.61it/s
T50/51, E217/250 => loss: 0.473: :   6% | 1/18 |  9.61it/s
T50/51, E217/250 => loss: 0.473: :  11% | 2/18 |  9.40it/s
T50/51, E217/250 => loss: 0.472: :  11% | 2/18 |  9.40it/s
T50/51, E217/250 => loss: 0.472: :  17% | 3/18 |  9.25it/s
T50/51, E217/250 => loss: 0.47: :  17% | 3/18 |  9.25it/s 
T50/51, E217/250 => loss: 0.47: :  22% | 4/18 |  9.12it/s
T50/51, E217/250 => loss: 0.47: :  22% | 4/18 |  9.12it/s
T50/51, E217/250 => loss: 0.47: :  28% | 5/18 |  9.04it/s
T50/51, E217/250 => loss: 0.47: :  28% | 5/18 |  9.04it/s
T50/51, E217/250 => loss: 0.47: :  33% | 6/18 |  8.98it/s
T50/51, E217/250 => loss: 0.47: :  33% | 6/18 |  8.98it/s
T50/51, E217/250 => loss: 0.47: :  39% | 7/18 |  8.94it/s
T50/51, E217/250 => loss: 0.47: :  39% | 7/18 |  8.94it/s
T50/51, E217/250 => loss: 0.47: :  44% | 8/18 |  8.91it/s
T50/51, E217/250 => loss: 0.471: :  44% | 8/18 |  8.91it/s
T50/51, E217/250 => loss: 0.471: :  50% | 9/18 |  8.90it/s
T50/51, E217/250 => loss: 0.47: :  50% | 9/18 |  8.90it/s 
T50/51, E217/250 => loss: 0.47: :  56% | 10/18 |  8.90it/s
T50/51, E217/250 => loss: 0.47: :  56% | 10/18 |  8.90it/s
T50/51, E217/250 => loss: 0.47: :  61% | 11/18 |  8.90it/s
T50/51, E217/250 => loss: 0.47: :  61% | 11/18 |  8.90it/s
T50/51, E217/250 => loss: 0.47: :  67% | 12/18 |  8.90it/s
T50/51, E217/250 => loss: 0.47: :  67% | 12/18 |  8.90it/s
T50/51, E217/250 => loss: 0.47: :  72% | 13/18 |  8.90it/s
T50/51, E217/250 => loss: 0.47: :  72% | 13/18 |  8.90it/s
T50/51, E217/250 => loss: 0.47: :  78% | 14/18 |  8.90it/s
T50/51, E217/250 => loss: 0.47: :  78% | 14/18 |  8.90it/s
T50/51, E217/250 => loss: 0.47: :  83% | 15/18 |  8.89it/s
T50/51, E217/250 => loss: 0.47: :  83% | 15/18 |  8.89it/s
T50/51, E217/250 => loss: 0.47: :  89% | 16/18 |  8.90it/s
T50/51, E217/250 => loss: 0.47: :  89% | 16/18 |  8.90it/s
T50/51, E217/250 => loss: 0.47: :  94% | 17/18 |  8.88it/s
T50/51, E217/250 => loss: 0.471: :  94% | 17/18 |  8.88it/s
T50/51, E217/250 => loss: 0.471: : 100% | 18/18 |  9.11it/s

  0% | 0/18 | ?it/s
T50/51, E218/250 => loss: 0.467: :   0% | 0/18 | ?it/s
T50/51, E218/250 => loss: 0.467: :   6% | 1/18 |  9.77it/s
T50/51, E218/250 => loss: 0.468: :   6% | 1/18 |  9.77it/s
T50/51, E218/250 => loss: 0.468: :  11% | 2/18 |  9.54it/s
T50/51, E218/250 => loss: 0.467: :  11% | 2/18 |  9.54it/s
T50/51, E218/250 => loss: 0.467: :  17% | 3/18 |  9.39it/s
T50/51, E218/250 => loss: 0.47: :  17% | 3/18 |  9.39it/s 
T50/51, E218/250 => loss: 0.47: :  22% | 4/18 |  9.27it/s
T50/51, E218/250 => loss: 0.47: :  22% | 4/18 |  9.27it/s
T50/51, E218/250 => loss: 0.47: :  28% | 5/18 |  9.18it/s
T50/51, E218/250 => loss: 0.469: :  28% | 5/18 |  9.18it/s
T50/51, E218/250 => loss: 0.469: :  33% | 6/18 |  9.12it/s
T50/51, E218/250 => loss: 0.469: :  33% | 6/18 |  9.12it/s
T50/51, E218/250 => loss: 0.469: :  39% | 7/18 |  9.08it/s
T50/51, E218/250 => loss: 0.47: :  39% | 7/18 |  9.08it/s 
T50/51, E218/250 => loss: 0.47: :  44% | 8/18 |  9.06it/s
T50/51, E218/250 => loss: 0.47: :  44% | 8/18 |  9.06it/s
T50/51, E218/250 => loss: 0.47: :  50% | 9/18 |  9.05it/s
T50/51, E218/250 => loss: 0.47: :  50% | 9/18 |  9.05it/s
T50/51, E218/250 => loss: 0.47: :  56% | 10/18 |  9.04it/s
T50/51, E218/250 => loss: 0.47: :  56% | 10/18 |  9.04it/s
T50/51, E218/250 => loss: 0.47: :  61% | 11/18 |  9.04it/s
T50/51, E218/250 => loss: 0.47: :  61% | 11/18 |  9.04it/s
T50/51, E218/250 => loss: 0.47: :  67% | 12/18 |  9.03it/s
T50/51, E218/250 => loss: 0.47: :  67% | 12/18 |  9.03it/s
T50/51, E218/250 => loss: 0.47: :  72% | 13/18 |  9.01it/s
T50/51, E218/250 => loss: 0.47: :  72% | 13/18 |  9.01it/s
T50/51, E218/250 => loss: 0.47: :  78% | 14/18 |  8.98it/s
T50/51, E218/250 => loss: 0.47: :  78% | 14/18 |  8.98it/s
T50/51, E218/250 => loss: 0.47: :  83% | 15/18 |  8.95it/s
T50/51, E218/250 => loss: 0.471: :  83% | 15/18 |  8.95it/s
T50/51, E218/250 => loss: 0.471: :  89% | 16/18 |  8.94it/s
T50/51, E218/250 => loss: 0.47: :  89% | 16/18 |  8.94it/s 
T50/51, E218/250 => loss: 0.47: :  94% | 17/18 |  8.93it/s
T50/51, E218/250 => loss: 0.473: :  94% | 17/18 |  8.93it/s
T50/51, E218/250 => loss: 0.473: : 100% | 18/18 |  9.22it/s

  0% | 0/18 | ?it/s
T50/51, E219/250 => loss: 0.47: :   0% | 0/18 | ?it/s
T50/51, E219/250 => loss: 0.47: :   6% | 1/18 |  9.84it/s
T50/51, E219/250 => loss: 0.468: :   6% | 1/18 |  9.84it/s
T50/51, E219/250 => loss: 0.468: :  11% | 2/18 |  9.61it/s
T50/51, E219/250 => loss: 0.47: :  11% | 2/18 |  9.61it/s 
T50/51, E219/250 => loss: 0.47: :  17% | 3/18 |  9.44it/s
T50/51, E219/250 => loss: 0.47: :  17% | 3/18 |  9.44it/s
T50/51, E219/250 => loss: 0.47: :  22% | 4/18 |  9.33it/s
T50/51, E219/250 => loss: 0.47: :  22% | 4/18 |  9.33it/s
T50/51, E219/250 => loss: 0.47: :  28% | 5/18 |  9.26it/s
T50/51, E219/250 => loss: 0.471: :  28% | 5/18 |  9.26it/s
T50/51, E219/250 => loss: 0.471: :  33% | 6/18 |  9.22it/s
T50/51, E219/250 => loss: 0.469: :  33% | 6/18 |  9.22it/s
T50/51, E219/250 => loss: 0.469: :  39% | 7/18 |  9.20it/s
T50/51, E219/250 => loss: 0.47: :  39% | 7/18 |  9.20it/s 
T50/51, E219/250 => loss: 0.47: :  44% | 8/18 |  9.18it/s
T50/51, E219/250 => loss: 0.47: :  44% | 8/18 |  9.18it/s
T50/51, E219/250 => loss: 0.47: :  50% | 9/18 |  9.18it/s
T50/51, E219/250 => loss: 0.47: :  50% | 9/18 |  9.18it/s
T50/51, E219/250 => loss: 0.47: :  56% | 10/18 |  9.18it/s
T50/51, E219/250 => loss: 0.47: :  56% | 10/18 |  9.18it/s
T50/51, E219/250 => loss: 0.47: :  61% | 11/18 |  9.17it/s
T50/51, E219/250 => loss: 0.47: :  61% | 11/18 |  9.17it/s
T50/51, E219/250 => loss: 0.47: :  67% | 12/18 |  9.16it/s
T50/51, E219/250 => loss: 0.47: :  67% | 12/18 |  9.16it/s
T50/51, E219/250 => loss: 0.47: :  72% | 13/18 |  9.12it/s
T50/51, E219/250 => loss: 0.47: :  72% | 13/18 |  9.12it/s
T50/51, E219/250 => loss: 0.47: :  78% | 14/18 |  9.08it/s
T50/51, E219/250 => loss: 0.47: :  78% | 14/18 |  9.08it/s
T50/51, E219/250 => loss: 0.47: :  83% | 15/18 |  9.04it/s
T50/51, E219/250 => loss: 0.47: :  83% | 15/18 |  9.04it/s
T50/51, E219/250 => loss: 0.47: :  89% | 16/18 |  9.01it/s
T50/51, E219/250 => loss: 0.469: :  89% | 16/18 |  9.01it/s
T50/51, E219/250 => loss: 0.469: :  94% | 17/18 |  8.99it/s
T50/51, E219/250 => loss: 0.471: :  94% | 17/18 |  8.99it/s
T50/51, E219/250 => loss: 0.471: : 100% | 18/18 |  9.31it/s

  0% | 0/18 | ?it/s
T50/51, E220/250 => loss: 0.467: :   0% | 0/18 | ?it/s
T50/51, E220/250 => loss: 0.47: :   0% | 0/18 | ?it/s 
T50/51, E220/250 => loss: 0.47: :  11% | 2/18 |  9.59it/s
T50/51, E220/250 => loss: 0.472: :  11% | 2/18 |  9.59it/s
T50/51, E220/250 => loss: 0.472: :  17% | 3/18 |  9.47it/s
T50/51, E220/250 => loss: 0.472: :  17% | 3/18 |  9.47it/s
T50/51, E220/250 => loss: 0.472: :  22% | 4/18 |  9.37it/s
T50/51, E220/250 => loss: 0.473: :  22% | 4/18 |  9.37it/s
T50/51, E220/250 => loss: 0.473: :  28% | 5/18 |  9.30it/s
T50/51, E220/250 => loss: 0.472: :  28% | 5/18 |  9.30it/s
T50/51, E220/250 => loss: 0.472: :  33% | 6/18 |  9.25it/s
T50/51, E220/250 => loss: 0.472: :  33% | 6/18 |  9.25it/s
T50/51, E220/250 => loss: 0.472: :  39% | 7/18 |  9.22it/s
T50/51, E220/250 => loss: 0.472: :  39% | 7/18 |  9.22it/s
T50/51, E220/250 => loss: 0.472: :  44% | 8/18 |  9.25it/s
T50/51, E220/250 => loss: 0.472: :  44% | 8/18 |  9.25it/s
T50/51, E220/250 => loss: 0.472: :  50% | 9/18 |  9.24it/s
T50/51, E220/250 => loss: 0.472: :  50% | 9/18 |  9.24it/s
T50/51, E220/250 => loss: 0.472: :  56% | 10/18 |  9.24it/s
T50/51, E220/250 => loss: 0.471: :  56% | 10/18 |  9.24it/s
T50/51, E220/250 => loss: 0.471: :  61% | 11/18 |  9.23it/s
T50/51, E220/250 => loss: 0.471: :  61% | 11/18 |  9.23it/s
T50/51, E220/250 => loss: 0.471: :  67% | 12/18 |  9.21it/s
T50/51, E220/250 => loss: 0.47: :  67% | 12/18 |  9.21it/s 
T50/51, E220/250 => loss: 0.47: :  72% | 13/18 |  9.18it/s
T50/51, E220/250 => loss: 0.47: :  72% | 13/18 |  9.18it/s
T50/51, E220/250 => loss: 0.47: :  78% | 14/18 |  9.14it/s
T50/51, E220/250 => loss: 0.47: :  78% | 14/18 |  9.14it/s
T50/51, E220/250 => loss: 0.47: :  83% | 15/18 |  9.09it/s
T50/51, E220/250 => loss: 0.47: :  83% | 15/18 |  9.09it/s
T50/51, E220/250 => loss: 0.47: :  89% | 16/18 |  9.05it/s
T50/51, E220/250 => loss: 0.47: :  89% | 16/18 |  9.05it/s
T50/51, E220/250 => loss: 0.47: :  94% | 17/18 |  9.02it/s
T50/51, E220/250 => loss: 0.47: :  94% | 17/18 |  9.02it/s
T50/51, E220/250 => loss: 0.47: : 100% | 18/18 |  9.36it/s

  0% | 0/18 | ?it/s
T50/51, E221/250 => loss: 0.466: :   0% | 0/18 | ?it/s
T50/51, E221/250 => loss: 0.466: :   6% | 1/18 |  9.72it/s
T50/51, E221/250 => loss: 0.467: :   6% | 1/18 |  9.72it/s
T50/51, E221/250 => loss: 0.467: :  11% | 2/18 |  9.50it/s
T50/51, E221/250 => loss: 0.466: :  11% | 2/18 |  9.50it/s
T50/51, E221/250 => loss: 0.466: :  17% | 3/18 |  9.35it/s
T50/51, E221/250 => loss: 0.467: :  17% | 3/18 |  9.35it/s
T50/51, E221/250 => loss: 0.467: :  22% | 4/18 |  9.25it/s
T50/51, E221/250 => loss: 0.468: :  22% | 4/18 |  9.25it/s
T50/51, E221/250 => loss: 0.468: :  28% | 5/18 |  9.17it/s
T50/51, E221/250 => loss: 0.468: :  28% | 5/18 |  9.17it/s
T50/51, E221/250 => loss: 0.468: :  33% | 6/18 |  9.12it/s
T50/51, E221/250 => loss: 0.468: :  33% | 6/18 |  9.12it/s
T50/51, E221/250 => loss: 0.468: :  39% | 7/18 |  9.07it/s
T50/51, E221/250 => loss: 0.468: :  39% | 7/18 |  9.07it/s
T50/51, E221/250 => loss: 0.468: :  44% | 8/18 |  9.05it/s
T50/51, E221/250 => loss: 0.468: :  44% | 8/18 |  9.05it/s
T50/51, E221/250 => loss: 0.468: :  50% | 9/18 |  9.08it/s
T50/51, E221/250 => loss: 0.468: :  50% | 9/18 |  9.08it/s
T50/51, E221/250 => loss: 0.468: :  56% | 10/18 |  9.10it/s
T50/51, E221/250 => loss: 0.468: :  56% | 10/18 |  9.10it/s
T50/51, E221/250 => loss: 0.468: :  61% | 11/18 |  9.12it/s
T50/51, E221/250 => loss: 0.469: :  61% | 11/18 |  9.12it/s
T50/51, E221/250 => loss: 0.469: :  67% | 12/18 |  9.16it/s
T50/51, E221/250 => loss: 0.469: :  67% | 12/18 |  9.16it/s
T50/51, E221/250 => loss: 0.469: :  72% | 13/18 |  9.18it/s
T50/51, E221/250 => loss: 0.469: :  72% | 13/18 |  9.18it/s
T50/51, E221/250 => loss: 0.469: :  78% | 14/18 |  9.20it/s
T50/51, E221/250 => loss: 0.469: :  78% | 14/18 |  9.20it/s
T50/51, E221/250 => loss: 0.469: :  83% | 15/18 |  9.20it/s
T50/51, E221/250 => loss: 0.469: :  83% | 15/18 |  9.20it/s
T50/51, E221/250 => loss: 0.469: :  89% | 16/18 |  9.18it/s
T50/51, E221/250 => loss: 0.469: :  89% | 16/18 |  9.18it/s
T50/51, E221/250 => loss: 0.469: :  94% | 17/18 |  9.12it/s
T50/51, E221/250 => loss: 0.471: :  94% | 17/18 |  9.12it/s
T50/51, E221/250 => loss: 0.471: : 100% | 18/18 |  9.32it/s

  0% | 0/18 | ?it/s
T50/51, E222/250 => loss: 0.473: :   0% | 0/18 | ?it/s
T50/51, E222/250 => loss: 0.473: :   6% | 1/18 |  9.56it/s
T50/51, E222/250 => loss: 0.471: :   6% | 1/18 |  9.56it/s
T50/51, E222/250 => loss: 0.471: :  11% | 2/18 |  9.43it/s
T50/51, E222/250 => loss: 0.47: :  11% | 2/18 |  9.43it/s 
T50/51, E222/250 => loss: 0.47: :  17% | 3/18 |  9.32it/s
T50/51, E222/250 => loss: 0.47: :  17% | 3/18 |  9.32it/s
T50/51, E222/250 => loss: 0.47: :  22% | 4/18 |  9.25it/s
T50/51, E222/250 => loss: 0.47: :  22% | 4/18 |  9.25it/s
T50/51, E222/250 => loss: 0.47: :  28% | 5/18 |  9.19it/s
T50/51, E222/250 => loss: 0.469: :  28% | 5/18 |  9.19it/s
T50/51, E222/250 => loss: 0.469: :  33% | 6/18 |  9.14it/s
T50/51, E222/250 => loss: 0.469: :  33% | 6/18 |  9.14it/s
T50/51, E222/250 => loss: 0.469: :  39% | 7/18 |  9.09it/s
T50/51, E222/250 => loss: 0.47: :  39% | 7/18 |  9.09it/s 
T50/51, E222/250 => loss: 0.47: :  44% | 8/18 |  9.06it/s
T50/51, E222/250 => loss: 0.469: :  44% | 8/18 |  9.06it/s
T50/51, E222/250 => loss: 0.469: :  50% | 9/18 |  9.04it/s
T50/51, E222/250 => loss: 0.47: :  50% | 9/18 |  9.04it/s 
T50/51, E222/250 => loss: 0.47: :  56% | 10/18 |  9.03it/s
T50/51, E222/250 => loss: 0.47: :  56% | 10/18 |  9.03it/s
T50/51, E222/250 => loss: 0.47: :  61% | 11/18 |  9.03it/s
T50/51, E222/250 => loss: 0.47: :  61% | 11/18 |  9.03it/s
T50/51, E222/250 => loss: 0.47: :  67% | 12/18 |  9.04it/s
T50/51, E222/250 => loss: 0.469: :  67% | 12/18 |  9.04it/s
T50/51, E222/250 => loss: 0.469: :  72% | 13/18 |  9.05it/s
T50/51, E222/250 => loss: 0.47: :  72% | 13/18 |  9.05it/s 
T50/51, E222/250 => loss: 0.47: :  78% | 14/18 |  9.06it/s
T50/51, E222/250 => loss: 0.47: :  78% | 14/18 |  9.06it/s
T50/51, E222/250 => loss: 0.47: :  83% | 15/18 |  9.06it/s
T50/51, E222/250 => loss: 0.47: :  83% | 15/18 |  9.06it/s
T50/51, E222/250 => loss: 0.47: :  89% | 16/18 |  9.06it/s
T50/51, E222/250 => loss: 0.47: :  89% | 16/18 |  9.06it/s
T50/51, E222/250 => loss: 0.47: :  94% | 17/18 |  9.04it/s
T50/51, E222/250 => loss: 0.471: :  94% | 17/18 |  9.04it/s
T50/51, E222/250 => loss: 0.471: : 100% | 18/18 |  9.27it/s

  0% | 0/18 | ?it/s
T50/51, E223/250 => loss: 0.475: :   0% | 0/18 | ?it/s
T50/51, E223/250 => loss: 0.475: :   6% | 1/18 |  9.96it/s
T50/51, E223/250 => loss: 0.473: :   6% | 1/18 |  9.96it/s
T50/51, E223/250 => loss: 0.473: :  11% | 2/18 |  9.70it/s
T50/51, E223/250 => loss: 0.472: :  11% | 2/18 |  9.70it/s
T50/51, E223/250 => loss: 0.472: :  17% | 3/18 |  9.52it/s
T50/51, E223/250 => loss: 0.472: :  17% | 3/18 |  9.52it/s
T50/51, E223/250 => loss: 0.472: :  22% | 4/18 |  9.40it/s
T50/51, E223/250 => loss: 0.472: :  22% | 4/18 |  9.40it/s
T50/51, E223/250 => loss: 0.472: :  28% | 5/18 |  9.32it/s
T50/51, E223/250 => loss: 0.471: :  28% | 5/18 |  9.32it/s
T50/51, E223/250 => loss: 0.471: :  33% | 6/18 |  9.25it/s
T50/51, E223/250 => loss: 0.471: :  33% | 6/18 |  9.25it/s
T50/51, E223/250 => loss: 0.471: :  39% | 7/18 |  9.18it/s
T50/51, E223/250 => loss: 0.471: :  39% | 7/18 |  9.18it/s
T50/51, E223/250 => loss: 0.471: :  44% | 8/18 |  9.13it/s
T50/51, E223/250 => loss: 0.471: :  44% | 8/18 |  9.13it/s
T50/51, E223/250 => loss: 0.471: :  50% | 9/18 |  9.10it/s
T50/51, E223/250 => loss: 0.471: :  50% | 9/18 |  9.10it/s
T50/51, E223/250 => loss: 0.471: :  56% | 10/18 |  9.07it/s
T50/51, E223/250 => loss: 0.471: :  56% | 10/18 |  9.07it/s
T50/51, E223/250 => loss: 0.471: :  61% | 11/18 |  9.05it/s
T50/51, E223/250 => loss: 0.47: :  61% | 11/18 |  9.05it/s 
T50/51, E223/250 => loss: 0.47: :  67% | 12/18 |  9.05it/s
T50/51, E223/250 => loss: 0.47: :  67% | 12/18 |  9.05it/s
T50/51, E223/250 => loss: 0.47: :  72% | 13/18 |  9.03it/s
T50/51, E223/250 => loss: 0.47: :  72% | 13/18 |  9.03it/s
T50/51, E223/250 => loss: 0.47: :  78% | 14/18 |  9.02it/s
T50/51, E223/250 => loss: 0.47: :  78% | 14/18 |  9.02it/s
T50/51, E223/250 => loss: 0.47: :  83% | 15/18 |  9.02it/s
T50/51, E223/250 => loss: 0.47: :  83% | 15/18 |  9.02it/s
T50/51, E223/250 => loss: 0.47: :  89% | 16/18 |  9.02it/s
T50/51, E223/250 => loss: 0.47: :  89% | 16/18 |  9.02it/s
T50/51, E223/250 => loss: 0.47: :  94% | 17/18 |  9.01it/s
T50/51, E223/250 => loss: 0.47: :  94% | 17/18 |  9.01it/s
T50/51, E223/250 => loss: 0.47: : 100% | 18/18 |  9.33it/s

  0% | 0/18 | ?it/s
T50/51, E224/250 => loss: 0.466: :   0% | 0/18 | ?it/s
T50/51, E224/250 => loss: 0.466: :   6% | 1/18 |  9.90it/s
T50/51, E224/250 => loss: 0.469: :   6% | 1/18 |  9.90it/s
T50/51, E224/250 => loss: 0.469: :  11% | 2/18 |  9.62it/s
T50/51, E224/250 => loss: 0.469: :  11% | 2/18 |  9.62it/s
T50/51, E224/250 => loss: 0.469: :  17% | 3/18 |  9.41it/s
T50/51, E224/250 => loss: 0.468: :  17% | 3/18 |  9.41it/s
T50/51, E224/250 => loss: 0.468: :  22% | 4/18 |  9.30it/s
T50/51, E224/250 => loss: 0.469: :  22% | 4/18 |  9.30it/s
T50/51, E224/250 => loss: 0.469: :  28% | 5/18 |  9.22it/s
T50/51, E224/250 => loss: 0.47: :  28% | 5/18 |  9.22it/s 
T50/51, E224/250 => loss: 0.47: :  33% | 6/18 |  9.16it/s
T50/51, E224/250 => loss: 0.47: :  33% | 6/18 |  9.16it/s
T50/51, E224/250 => loss: 0.47: :  39% | 7/18 |  9.10it/s
T50/51, E224/250 => loss: 0.47: :  39% | 7/18 |  9.10it/s
T50/51, E224/250 => loss: 0.47: :  44% | 8/18 |  9.05it/s
T50/51, E224/250 => loss: 0.47: :  44% | 8/18 |  9.05it/s
T50/51, E224/250 => loss: 0.47: :  50% | 9/18 |  9.01it/s
T50/51, E224/250 => loss: 0.47: :  50% | 9/18 |  9.01it/s
T50/51, E224/250 => loss: 0.47: :  56% | 10/18 |  8.98it/s
T50/51, E224/250 => loss: 0.47: :  56% | 10/18 |  8.98it/s
T50/51, E224/250 => loss: 0.47: :  61% | 11/18 |  8.96it/s
T50/51, E224/250 => loss: 0.47: :  61% | 11/18 |  8.96it/s
T50/51, E224/250 => loss: 0.47: :  67% | 12/18 |  8.96it/s
T50/51, E224/250 => loss: 0.471: :  67% | 12/18 |  8.96it/s
T50/51, E224/250 => loss: 0.471: :  72% | 13/18 |  8.96it/s
T50/51, E224/250 => loss: 0.47: :  72% | 13/18 |  8.96it/s 
T50/51, E224/250 => loss: 0.47: :  78% | 14/18 |  8.97it/s
T50/51, E224/250 => loss: 0.47: :  78% | 14/18 |  8.97it/s
T50/51, E224/250 => loss: 0.47: :  83% | 15/18 |  8.99it/s
T50/51, E224/250 => loss: 0.47: :  83% | 15/18 |  8.99it/s
T50/51, E224/250 => loss: 0.47: :  89% | 16/18 |  9.00it/s
T50/51, E224/250 => loss: 0.47: :  89% | 16/18 |  9.00it/s
T50/51, E224/250 => loss: 0.47: :  94% | 17/18 |  9.01it/s
T50/51, E224/250 => loss: 0.471: :  94% | 17/18 |  9.01it/s
T50/51, E224/250 => loss: 0.471: : 100% | 18/18 |  9.23it/s

  0% | 0/18 | ?it/s
T50/51, E225/250 => loss: 0.471: :   0% | 0/18 | ?it/s
T50/51, E225/250 => loss: 0.471: :   6% | 1/18 |  9.82it/s
T50/51, E225/250 => loss: 0.47: :   6% | 1/18 |  9.82it/s 
T50/51, E225/250 => loss: 0.47: :  11% | 2/18 |  9.61it/s
T50/51, E225/250 => loss: 0.468: :  11% | 2/18 |  9.61it/s
T50/51, E225/250 => loss: 0.468: :  17% | 3/18 |  9.46it/s
T50/51, E225/250 => loss: 0.469: :  17% | 3/18 |  9.46it/s
T50/51, E225/250 => loss: 0.469: :  22% | 4/18 |  9.36it/s
T50/51, E225/250 => loss: 0.469: :  22% | 4/18 |  9.36it/s
T50/51, E225/250 => loss: 0.469: :  28% | 5/18 |  9.29it/s
T50/51, E225/250 => loss: 0.468: :  28% | 5/18 |  9.29it/s
T50/51, E225/250 => loss: 0.468: :  33% | 6/18 |  9.23it/s
T50/51, E225/250 => loss: 0.47: :  33% | 6/18 |  9.23it/s 
T50/51, E225/250 => loss: 0.47: :  39% | 7/18 |  9.17it/s
T50/51, E225/250 => loss: 0.47: :  39% | 7/18 |  9.17it/s
T50/51, E225/250 => loss: 0.47: :  44% | 8/18 |  9.11it/s
T50/51, E225/250 => loss: 0.469: :  44% | 8/18 |  9.11it/s
T50/51, E225/250 => loss: 0.469: :  50% | 9/18 |  9.06it/s
T50/51, E225/250 => loss: 0.47: :  50% | 9/18 |  9.06it/s 
T50/51, E225/250 => loss: 0.47: :  56% | 10/18 |  9.03it/s
T50/51, E225/250 => loss: 0.47: :  56% | 10/18 |  9.03it/s
T50/51, E225/250 => loss: 0.47: :  61% | 11/18 |  8.99it/s
T50/51, E225/250 => loss: 0.47: :  61% | 11/18 |  8.99it/s
T50/51, E225/250 => loss: 0.47: :  67% | 12/18 |  8.97it/s
T50/51, E225/250 => loss: 0.47: :  67% | 12/18 |  8.97it/s
T50/51, E225/250 => loss: 0.47: :  72% | 13/18 |  8.95it/s
T50/51, E225/250 => loss: 0.47: :  72% | 13/18 |  8.95it/s
T50/51, E225/250 => loss: 0.47: :  78% | 14/18 |  8.94it/s
T50/51, E225/250 => loss: 0.47: :  78% | 14/18 |  8.94it/s
T50/51, E225/250 => loss: 0.47: :  83% | 15/18 |  8.95it/s
T50/51, E225/250 => loss: 0.469: :  83% | 15/18 |  8.95it/s
T50/51, E225/250 => loss: 0.469: :  89% | 16/18 |  8.96it/s
T50/51, E225/250 => loss: 0.47: :  89% | 16/18 |  8.96it/s 
T50/51, E225/250 => loss: 0.47: :  94% | 17/18 |  8.95it/s
T50/51, E225/250 => loss: 0.472: :  94% | 17/18 |  8.95it/s
T50/51, E225/250 => loss: 0.472: : 100% | 18/18 |  9.24it/s

  0% | 0/18 | ?it/s
T50/51, E226/250 => loss: 0.471: :   0% | 0/18 | ?it/s
T50/51, E226/250 => loss: 0.471: :   6% | 1/18 |  9.53it/s
T50/51, E226/250 => loss: 0.469: :   6% | 1/18 |  9.53it/s
T50/51, E226/250 => loss: 0.469: :  11% | 2/18 |  9.35it/s
T50/51, E226/250 => loss: 0.476: :  11% | 2/18 |  9.35it/s
T50/51, E226/250 => loss: 0.476: :  17% | 3/18 |  9.24it/s
T50/51, E226/250 => loss: 0.473: :  17% | 3/18 |  9.24it/s
T50/51, E226/250 => loss: 0.473: :  22% | 4/18 |  9.15it/s
T50/51, E226/250 => loss: 0.472: :  22% | 4/18 |  9.15it/s
